lang,article_count,avg_quality,high_quality_ratio
ar,1237943,17.108793,0.001296
az,201054,15.34308,0.002019
be,244985,12.945709,0.00071
bg,299787,17.744662,0.002745
ca,756348,21.160755,0.004762
cs,550666,16.440806,0.002551
da,301275,9.778272,0.001298
de,2930971,18.632193,0.005354
el,237671,22.99986,0.007447
en,6860430,24.711835,0.014278
eo,356698,11.675598,0.002958
es,1905093,18.76547,0.003924
et,246512,18.068861,0.005002
eu,430677,15.759078,0.001551
fa,1008969,11.427629,0.001274
fi,577535,17.644649,0.002769
fr,2626210,16.118492,0.00336
gl,212505,14.165542,0.002494
he,359029,21.801274,0.007389
hi,166951,16.178136,0.005894
hr,207360,20.155082,0.006698
hu,544427,19.037015,0.004322
hy,312200,18.046487,0.002066
id,696238,13.929004,0.004441
it,1875385,13.627844,0.002149
ja,1424380,14.567235,0.001938
ka,173955,13.223606,0.00265
kk,239916,13.072453,0.00035
ko,679238,10.437597,0.001497
la,139220,16.814823,0.002492
lt,215369,13.738571,0.000223
ms,387480,14.386905,0.008264
nl,2163715,12.727523,0.00077
nn,170159,18.870402,0.006705
no,633769,15.528635,0.001381
pl,1624175,17.027903,0.002494
pt,1130161,17.710399,0.005075
ro,464908,16.613844,0.002063
ru,1991787,18.181727,0.003063
sh,459884,18.657289,0.001585
simple,254977,17.479556,0.004236
sk,249617,17.455367,0.002997
sl,186122,17.87244,0.006904
sr,692273,15.904197,0.001062
sv,2591505,20.019398,0.000659
ta,168458,25.991098,0.004672
th,165837,18.482633,0.00492
tr,617404,18.135368,0.004182
uk,1339146,18.817142,0.002301
ur,211138,13.98223,0.001411
uz,299908,14.60796,0.000997
vi,1294722,14.244001,0.001486
vo,37495,16.259573,0.00064
zh,1433026,20.309096,0.009161
zh-min-nan,433191,21.541355,0.000247
